,positivo
16678,la ubicación era magnífica. Todo acerca de esta propiedad fue maravilloso.
16679,vista perfecta.
16680,"Ubicación perfecta para un viajero solitario. Me sentí seguro, el personal fue muy amable y la habitación estaba limpia. El desayuno estuvo bien, hay muchas opciones. Me gustó que guardaran mi equipaje porque llegué antes. Seguramente me alojaré aquí de nuevo la próxima vez que visite valencia:"
16681,"Excelente ubicación, personal muy amable y servicial."
16682,"La ubicación fue el aspecto clave para nosotros. Este lugar nos permitió estar cerca de todos los acogedores bares y cafeterías, del mercado y de todos los museos que teníamos en nuestra lista. Incluso sin utilizar ningún medio de transporte público, aunque tiene paradas de metro y autobús bastante cerca. Nos encantó la atención prestada al detalle. Además, el personal es muy amable y servicial. Quedarnos allí fue la mejor decisión que hemos tomado, definitivamente regresaremos."
16683,ubicación y personal y servicios
16684,todo
16685,"Está en una excelente ubicación, la habitación era muy bonita y el personal era amable y servicial."
16686,Increíble lugar para alojarse durante las vacaciones en Valencia.
16687,"todo salió perfectamente bien. La habitación estaba limpia, el desayuno era bueno, el personal era agradable y las instalaciones estaban limpias. ¡La ubicación era perfecta!"
16688,"¡Todo fue perfecto, fue una estancia encantadora! La habitación tenía una bonita vista, una cama cómoda, un baño espacioso con geles de ducha de calidad, un desayuno delicioso, un personal amable y una ubicación muy céntrica. ¡Definitivamente lo recomiendo!"
16689,"¡Todo fue perfecto! Excelente ubicación, un buen colchón y un personal agradable. ¡Muy recomendable!"
16690,"Ubicación privilegiada en el corazón de la ciudad. desde allí se puede recorrer a pie todo el centro histórico. el personal de recepción es bastante amable, amable y servicial. la habitación estaba limpia y ordenada. sabroso desayuno en la mesa de bloques."
16691,la ubicación tiene una excelente vista central con un desayuno abundante
16692,limpieza y ubicación
16693,buena ubicación para el festival de año nuevo
16694,"Ubicación perfecta, limpio, buenas camas, personal encantador."
16695,"ubicación, precio"
16696,"Nos gusta todo, cómodo y gran recepción."
16697,excelente ubicación. Muy hermosa vista desde las ventanas panorámicas. la terraza era increíble. Me quedé especialmente satisfecho con los artículos de tocador de marca de alta calidad. personal muy atento.
16698,ubicación y camas
16699,Las habitaciones eran preciosas y la ubicación es perfecta. El taxi desde el aeropuerto cuesta 20
16700,"la habitación era genial! Cómodas, limpias, las almohadas y la cama eran geniales. la ubicación es increíble. ¡El personal con el que hablamos fue súper amable!"
16701,"excelente ubicación, excelente vista. todo estaba limpio. teníamos todo lo que necesitábamos. el personal fue amable y servicial."
16702,la vista desde la habitación y la ubicación central
16703,magnífica ubicación en el centro de la ciudad. personal muy servicial y amable. desayuno genial
16704,"Estoy muy feliz de habernos alojado en ese hotel. Ubicación perfecta, habitación limpia y cama grande y cómoda. Al lado de la entrada del hotel hay un bonito bar restaurante para que puedas tomar una cerveza o un vino y sentarte afuera y disfrutar. altamente recomendado señal de aprobación con la mano"
16705,"Habitaciones bonitas, limpias y espaciosas en una excelente ubicación. El personal de recepción fue muy agradable y servicial."
16706,personal extremadamente servicial. excelente ubicación.
16707,"Un gran lugar para alojarse cuando visite Valencia. en el centro, con una gran vista. Estábamos en el octavo piso, pero imagino que en los pisos inferiores puede haber un poco de ruido. La estación de metro está cerca, al igual que la parada de autobús. el personal es extremadamente educado y servicial. La habitación la limpiaban todos los días. el desayuno estuvo delicioso. Definitivamente elegiría este hotel cuando regrese."
16708,"La ubicación es estupenda, la cama era cómoda, estaba impecablemente limpia y el desayuno era bueno."
16709,"Ubicación perfecta, desayuno encantador, habitación limpia y cómoda."
16710,"¡El hotel más limpio que he visto jamás! Todo estaba impecable, ni siquiera una mota de polvo en las superficies de difícil acceso. la ubicación es excepcional y el personal es muy amable y servicial."
16711,todo
16712,ubicación. Habitación pequeña pero todo lo que necesitaba. buen desayuno
16713,"Hermosa vista, personal super amable y justo en el centro de la ciudad."
16714,"Teníamos una vista increíble, una habitación muy espaciosa, encantadora y limpia."
16715,ciudad central
16716,vista desde la ventana
16717,"El diseño interno era moderno y peculiar, ubicación perfecta para todo. El personal fue muy servicial, especialmente José. Definitivamente me quedaría de nuevo."
16718,"ubicación, espacio, comodidad"
16719,el personal de recepción más amable y hospitalario. Gracias por hacer que nuestra breve estadía fuera tan memorable y por ser una fuente de información tan brillante. Hiciste que nuestra estancia fuera tan especial.
16720,"Hay muchas cosas buenas sobre la valencia vintage casual. Es una ubicación fantástica, hay mucho que ver en los alrededores y muchos lugares encantadores para comer muy cerca. Teníamos una habitación exterior en el octavo piso con vista a la plaza, la habitación estaba muy limpia, con una cama cómoda y un baño muy limpio con una ducha a presión excelente. Nuestra habitación era genial, ya que tenía una temática de Star Wars. El aire acondicionado funcionó perfectamente. El personal ha sido muy amable y servicial. Recomiendo encarecidamente alojarse allí."
16721,muy buena ubicación personal amable opción de desayuno para 8 personas habitación limpia
16722,todo excelente.
16723,muy central para visitar todas partes
16724,"Bonita habitación espaciosa, limpia, buena presión en la ducha, vistas fantásticas y la ubicación es fabulosa."
16725,"maravillosa vista desde la ventana. Habitaciones limpias y cama cómoda. personal muy amable. amigable con los animales. incluso para ropa de cama, cuencos y regalos para animales."
16726,la ubicación los empleados todo fue perfecto
16727,"Ubicación central, habitaciones acogedoras y personal super amable."
16728,"La ubicación era excepcional. La habitación era magnífica con una gran vista de la plaza. Fácil acceso a cualquier ubicación, ya sea arriba, abajo o de derecha a izquierda. Me quedaría aquí en el futuro."
16729,"Gran lugar para alojarse incluso durante la noche. en el centro de la ciudad, cerca de cada visita obligada en valencia. Llegamos muy tarde al hotel, no hubo problema. Aparcamiento subterráneo disponible a buen precio. totalmente recomendado"
16730,preciosa y cómoda habitación.
16731,"La ubicación era genial, cerca de todo."
16732,"ubicación y vista desde la ventana, las cosas son útiles: conseguí el casillero para mis cosas y también tuve una breve reparación de una fuga de aire acondicionado."
16733,"Ubicación, con vista a la plaza. muy cómodo."
16734,"Ubicación, con vista a la plaza. muy cómodo."
16735,"Está en una excelente ubicación, muy central."
16736,la ubicación es excelente! a poca distancia de todo lo que pueda necesitar
16737,la ubicación es genial
16738,Excelente ubicación y las habitaciones son sencillas pero tienen todo lo que necesitas.
16739,"Lugar muy agradable, ubicación perfecta, personal amable, buena relación calidad-precio."
16740,"Me encantó la ubicación, la habitación espaciosa y la actualización gratuita. buenas comodidades. Balcón de buen tamaño. agradable para el café de la mañana. personal servicial"
16741,"Todo, las habitaciones, las opciones de desayuno y la ubicación son excepcionales para un pequeño hotel de dos estrellas."
16742,"Ubicación perfecta, justo en el centro de la ciudad."
16743,"El chico que trabaja en recepción, Marte, se llamaba el mejor chico de todos los tiempos. muy servicial y conoce la ciudad."
16744,"Pregunté por la habitación de Star Wars cuando hice la reserva y la conseguimos. : es una habitación super chula con una vista increíble al pla a del ajuntament y una cama muy cómoda. el hotel está perfectamente situado en el centro de valencia. Puedes caminar fácilmente a todas partes desde allí. También utilizamos el servicio de alquiler de bicicletas del hotel, que era más barato que los servicios de alquiler externos. con la bicicleta fue más fácil y rápido llegar a la ciutat de les arts i les ciències además de a la playa."
16745,Ubicación perfecta y habitación cómoda.
16746,"brillante ubicación central. muchos pequeños detalles extra: almohadas, artículos de tocador, impecablemente limpios y extravagantes."
16747,"Nos encantó la ubicación. Vinimos allí para ver la roca gigante, el mar, las cuevas y los monos. Estábamos felices y cómodos quedándonos en el apartamento."
16748,ubicación fantástica. personal cálido. mejor valor
16749,muy buena ubicación y habitación cómoda.
16750,"Justo en el corazón de la ciudad, justo al lado de la placa del ajuntment, el casual vintage es perfecto para cualquier estancia en valencia. Me pareció una excelente relación calidad-precio con una cama doble para una habitación de uso individual. El desayuno, servido en tres turnos para elegir, incluía una buena selección de platos. El personal de recepción fue extremadamente eficiente, sociable y servicial, y le ayudará en todo lo posible a encontrar su lugar en la ciudad. una hora de salida al mediodía también permitirá que el viajero más cansado esté más relajado antes de continuar su viaje."
16751,"Habitaciones sencillas pero perfectamente adecuadas para una escapada a la ciudad. la ducha era excelente y la cama muy cómoda. Sería genial tener una mini nevera también, pero esto no fue un problema."
16752,"simplemente perfecto en cualquier sentido. La ubicación no podría ser mejor, el personal muy servicial y agradable, y el alojamiento limpio, cómodo y lleno de accesorios."
16753,ubicación central! gran vista desde la habitación. Cerca de todos los sitios de atracción de la ciudad.
16754,"El personal fue muy amable y servicial, el lugar estaba muy bien ubicado, justo en el centro de la ciudad."
16755,excelente ubicación
16756,muy limpio. Sala familiar de gran tamaño. bar de habitación tranquila dos noches de chicas fiesteras entrometidas encima de nosotros.
16757,"ubicación perfecta! Miembro del personal extremadamente amable y servicial, el lugar en sí es increíble. Manos aplaudiendo, cómodo y limpio. Estoy encantado con el servicio brindado, vale cada centavo y definitivamente me quedaré allí nuevamente en mi próxima visita a esta hermosa ciudad."
16758,personal de ubicación
16759,Excelente ubicación y personal muy amable y servicial.
16760,"Ubicación y hermosas habitaciones, excelente desayuno con hermosa vista a la plaza."
16761,ubicación
16762,excelente ubicación situada a tan solo 10 minutos andando de la estación de tren valencia nord
16763,ubicación central privilegiada personal muy amable y servicial
16764,"Ubicación perfecta, vista increíble desde nuestra habitación, todo limpio y cómodo, buen desayuno. Realmente agradecido de poder dejar nuestras cosas en el trastero antes del check-in y después del check-out. buena relación calidad-precio!"
16765,cama muy cómoda y sábanas de buena calidad. El desayuno es muy... buena elección... también hay leche de soja disponible. personal muy muy servicial..
16766,"la ubicación era perfecta. La habitación tenía grandes ventanales, luminosa y soleada, con una cama e instalaciones cómodas. el desayuno fue realmente delicioso. el personal fue muy servicial."
16767,"maravillosa ubicación, gran habitación, personal muy amable"
16768,este hotel es hermoso. Nuestra habitación era espaciosa y tenía una vista fantástica de la hermosa ciudad. El personal es muy servicial y amable. Está en la ubicación perfecta en el corazón de la ciudad. Nos encantaría volver otra vez.
16769,¡La ubicación y el personal eran perfectos!
16770,no comió
16771,ubicación
16772,"Tuvimos días fantásticos aquí. Habitaciones céntricas, creativas y maravillosas, desayuno perfecto para todos los gustos, equipo muy amable y apto para perros."
16773,"Excelente ubicación, pelea en el centro de la ciudad."
16774,la ubicación y el personal fueron geniales
16775,ubicación
16776,"Habitación grande, baño, buena ubicación."
16777,¡la ubicación es genial!
16778,"superó mis expectativas. La ubicación, la vista era fantástica. habitación grande. Tuve una mascota conmigo y fue maravilloso. Definitivamente vale la pena quedarse aquí. volveremos corazón rojo"
16779,"Me encantó la ubicación, la energía súper acogedora del personal."
16780,"excelente ubicación, hermosas habitaciones"
16781,el desayuno fue genial. ubicación excelente.
16782,"La ubicación del hotel está al lado de la plaza de ayutamento, lo que facilita el desplazamiento, ya que el hotel está en el corazón de la ciudad. El desayuno era buffet y todo estaba recién hecho, por ejemplo. cruces, pasteles, salchichas, huevos revueltos, etc. Mi habitación individual era de buen tamaño y tenía una cama muy cómoda. El baño también era de buen tamaño con kit de baño que incluía gorro de ducha, peine, champús, etc. el personal de recepción es increíble. ¡Muy útil en caso de cualquier necesidad! Recomendaría alojarse en el hotel porque tiene muchos puntos positivos y la relación calidad-precio es justa."
16783,La propiedad superó mis expectativas. la ubicación era fantástica. el personal muy agradable.
16784,El personal fue realmente servicial y amable. son los mejores! Puedes conseguir secador de pelo en la recepción. cama cómoda. habitación y baño muy limpios. muy buena ubicacion!
16785,"Ubicación increíble, personal agradable y habitaciones estupendas. Vinimos por las fallas y conseguimos una bonita habitación en el sexto piso con la mejor vista para los fuegos artificiales. ¡Fue una experiencia absolutamente increíble! Pudimos dejar nuestro equipaje más temprano y cambiarnos de ropa. el personal nos dio recomendaciones de la ciudad y un pequeño mapa de fallas, super agradable!"
16786,"la ubicación, la habitación y el desayuno."
16787,La segunda vez que utilizamos este hotel. Perfecta ubicación en plaza principal. ideal para todas las atracciones del casco antiguo y para ir de compras. Buen desayuno y se admiten mascotas. Reservé una habitación y en realidad era una suite.
16788,"la ubicación era excelente y el precio era una buena relación calidad-precio. El personal estuvo allí las 24 horas, y siempre fue amable y dispuesto a ayudar."
16789,"Me encantó este hotel. Ubicación fantástica, habitaciones estupendas, camas cómodas, almohadas de calidad. toallas grandes y esponjosas. El personal fue muy acogedor. Era mi cumpleaños y lo reconocieron en mi pasaporte y ambos miembros del personal me desearon un feliz cumpleaños, fueron muy amables. sensación peculiar con muchos dichos reconfortantes en el hueco de la escalera."
16790,"La habitación era muy moderna, me gustaron los toques vintage. Me ascendieron de categoría y tenía una habitación con una terraza muy bonita con vistas. Me quedé solo una noche y lamenté no poder disfrutar más."
16791,la vista es incredibil cara sonriendo con ojos de corazón. Y está en el centro de la ciudad por lo que puedes ir caminando a la mayoría de los lugares turísticos.
16792,"Preciosa propiedad, muy buena ubicación. El personal fue muy amable. ¡sin problemas!"
16793,excelente ubicación y empleados.
16794,Ubicación y calidad del servicio.
16795,"La ubicación era perfecta, fácil acceso desde el aeropuerto al hotel. el personal fue cortés. las habitaciones estaban limpias y espaciosas"
16796,todo
16797,"¡La ubicación superó mis expectativas! ¡Tan cerca de todo, desde supermercados, lugares de interés y restaurantes increíbles! ¡No podría haber pedido más!"
16798,excelente personal muy servicial
16799,"Ubicación increíble, muy buen desayuno, habitación limpia y cama cómoda. El personal fue amable y servicial."
16800,la ubicación era perfecta. La vista desde el balcón de la habitación era genial. El desayuno incluido fue un buen toque.
16801,"Solicité 3 camas individuales y me las dieron. sin embargo, da al callejón trasero. Después de la primera noche, les dije que si podían trasladarnos a otra habitación, sujeto a disponibilidad. no sólo nos trasladaron sino que nos dieron una habitación muy amplia y con una vista espléndida. El personal fue muy servicial y amable. son muy accesibles."
16802,"Excelente ubicación, excelente vista, buen desayuno, personal amable, mejor de lo esperado, ¡superactualización!"
16803,"ubicación excepcional. personal maravilloso. excelentes comodidades en la habitación; la habitación en sí era muy espaciosa, limpia y cómoda."
16804,"el personal amable, las habitaciones limpias y los bonitos detalles como jabones, etc."
16805,"La habitación era grande, abierta y muy limpia. las camas eran grandes y acogedoras. el personal fue muy amable. el desayuno fue realmente bueno. La mayor ventaja fue la ubicación, porque todo en la ciudad vieja está cerca y todos los transportes para moverse por la ciudad."
16806,"La ubicación central y la vista desde la habitación eran increíbles. El personal fue muy acogedor y profesional, la habitación estaba muy limpia y con una cama cómoda. Sólo nos quedamos una noche, ojalá nos hubiéramos quedado más tiempo."
16807,"La ubicación es perfecta, el personal fue excelente en todo momento, la segunda habitación que me dieron era linda y era lo que esperaba. El desayuno era bueno y con una bonita vista. , todo estaba muy limpio."
16808,"era una ubicación súper buena, una habitación cómoda, limpia y acogedora, recibí ayuda del personal cuando la necesité y pude quedarme un poco más de tiempo en el área principal después del check-out. El desayuno también estuvo bastante bien, aunque tal vez no haya demasiadas opciones para veganos. Yo no soy el indicado."
16809,"¡ubicación! es un directo de 4 min. a pie desde la estación de tren. amable, limpio y las habitaciones son muy interesantes. Bonita terraza con vistas a la ciudad."
16810,"Tuvimos la suerte de alojarnos en la sala verde que aparece en la página de presentación del hotel. Estuvimos de acuerdo con mi esposo en que esta era la habitación con la mejor vista que hemos tenido y que probablemente tendremos en nuestros viajes. simplemente no podíamos tener suficiente, día y noche. El personal era muy agradable y servicial, el desayuno abundante. También me enamoré de las suaves almohadas de la cama y disfruté el diseño de la habitación."
16811,"Excelente hospitalidad y ubicación, mejora de habitación, sin cargo."
16812,"Me gustó la ubicación. estaba realmente en el centro. el personal era muy amable y también el ambiente en el hotel era genial. Me encantó. Además, la vista desde mi habitación era excelente."
16813,"La habitación estaba muy limpia y tenía una vista perfecta de la plaza. No desayunamos porque tuvimos que irnos temprano, así que no puedo calificar eso. vale cada centavo pulgar hacia arriba tono de piel claro medio"
16814,Perfecta ubicación en valencia en la plaza principal. muy cerca del mercado central.
16815,excelente ubicación y personal amable
16816,"personal muy amable, habitaciones limpias y excelente ubicación. ¡Dejamos nuestro equipaje antes de la hora de check-in y también guardaron nuestras maletas después del check-out! ¡bien hecho por este hotel!"
16817,"Excelente ubicación, personal agradable, todo funciona y está limpio y fresco. buena cama con almohadas dobles! ducha fantástica con muy buena presión de agua y productos rituales ¡un plus!"
16818,buena ubicación
16819,"La ubicación es perfecta, no puede ser mejor. excelente hotel cerca de todo de interés con muy buen desayuno. la habitación estaba muy bien, cama cómoda y limpia. El personal fue muy amable y servicial."
16820,"¡Que estuviera tan céntrico y muy limpio! la cama también era muy cómoda cara con manos abrazando También me gustó mucho el baño era muy espacioso y estaba muy limpio, por lo que fue agradable prepararse."
16821,"Excelentes ubicaciones y la habitación era de muy buen tamaño, cómoda y limpia."
16822,excelente hotel. Nos gustó todo.
16823,"Camas y habitaciones preciosas, excelente ubicación."
16824,"Ubicado en el centro, lo cual es perfecto. Muy cómodo. Hermosa vista de la ciudad."
16825,"ubicación, desayuno, personal"
16826,"Ubicación perfecta para explorar, el hotel estaba bien equipado y el personal fue muy servicial. Habitaciones e instalaciones limpias y extravagantes."
16827,Este hotel está en una excelente ubicación para explorar la ciudad.
16828,"la propiedad está en el mismo centro de la ciudad, la mayoría de los monumentos están muy cerca, la zona está llena de vida y es agradable para pasear."
16829,"Gran lugar para alojarse, buen precio, limpio."
16830,"Gran lugar, excelente ubicación, personal increíble. muy recomendado"
16831,ubicación - desayuno - personal - limpieza
16832,el personal fue increíble. El hotel estaba limpio y tenía comodidades muy generosas.
16833,"La ubicación de este hotel era muy céntrica, perfecta para lo que necesitábamos. Las habitaciones eran espaciosas y tenían un baño grande. El personal era muy amable y siempre dispuesto a ayudar, nada era demasiado problema. Me encantaron las pequeñas citas sobre el hotel y las pequeñas peculiaridades que se dejaban todos los días en la habitación, como palomitas, dulces, horchata."
16834,"Realmente me gustó el hotel. En pleno centro, fácil de llegar, fácil de encontrar. al mismo tiempo, es tranquilo y acogedor, atmosférico. el baño es muy cómodo, buena ducha, artículos de tocador. la cama es blanca como la nieve y la habitación está impecablemente limpia. El personal es muy agradable, hablan inglés. Había escrito una solicitud para guardar mi equipaje hasta la noche después de mi salida, e inmediatamente escribieron que puedo guardarlo en el hotel de forma gratuita. es muy conveniente. Me quedaría aquí la próxima vez."
16835,ubicación y personal
16836,Impresionante ubicación y habitación limpia.
16837,"mi habitación, la ubicación, el personal amable y el desayuno"
16838,"Habitación y baño limpios, desayuno delicioso, mala comodidad, ducha grande. ¡la ubicación es increíble! ¡volveremos!"
16839,"Excelente ubicación, gran desayuno, todo fue muy agradable y servicial. muy limpio y cómodo. ¡Definitivamente regresaríamos!"
16840,"el servicio fue increíble. Lo pasamos muy bien, el personal fue muy amable y comprensivo."
16841,Ubicación perfecta en el centro de la ciudad. realmente limpio con un personal amable y servicial.
7132,ubicación e higiene
15020,excelente. me encanto
16013,amabilidad del staff
16842,muy cerca de la ciudad y el personal es muy servicial
16843,"El personal fue muy amable. La habitación era estupenda, con una buena ducha y una buena cama."
16844,la ubicación y el personal fueron excelentes.
16845,it was great experience. 100  recommended cara feliz con ojos sonrientes
16846,"ubicación increíble. Su ubicación en el centro de la ciudad, muy cerca de la estación, paradas de autobús y metro. puedes caminar a todas partes. muchas tiendas, restaurantes alrededor, alquiler de bicicletas. cama muy cómoda, almohada, hay un gran espejo en la habitación. diseño interior agradable. las instalaciones del baño eran excelentes. disfruté de mi estancia"
16847,"Excelente hotel céntrico, camas grandes y cómodas, la habitación en el último piso con balcón tiene vistas excepcionales y vale la pena el costo adicional, admite perros, se proporcionan camas, tazones y golosinas para perros. Me he alojado antes y me alojaré de nuevo."
16848,"Excelente ubicación, el balcón de la habitación era fantástico."
16849,Excelente dirección en el centro de la ciudad.
16850,"El personal fue muy amable y muy servicial, en particular, Teresa nos ayudó mucho."
16851,"La ubicación era perfecta, en medio de todo."
16852,"Maravilloso lugar, cerca del centro, del casco antiguo y de todo."
16853,el hotel es maravilloso. El personal de recepción fue muy servicial y amable. El desayuno era generoso y sabroso. ubicado céntricamente. Volveré la próxima vez que esté en valencia
16854,"Increíble ubicación central, divertida habitación temática de Star Wars, cerca de la estación de tren Valencia Nord"
16855,todo
16856,Vista increíble y un gran sueño. el personal es muy acogedor
16857,la ubicación es la mejor. el personal es muy amable. Viajamos con 4 adultos y 3 niños y nos dejaron quedarnos juntos en su habitación cuádruple. Realmente lo apreciamos ya que mis suegros rara vez pueden visitarnos y realmente queríamos unirnos lo más posible. Recomiendo encarecidamente este hotel a cualquiera que visite Valencia.
16858,"la ubicación era excelente. Nuestra habitación estaba limpia y era cómoda, con un baño muy moderno. La sala de desayunos tenía un ambiente agradable y daba a la plaza del pueblo. la comida era sencilla pero adecuada y el pan recién hecho y los pasteles eran muy buenos. todo el personal fue muy amable y servicial. En general, fue una estancia increíble en Valencia."
16859,"personal de registro amable y servicial. El desayuno era muy bueno, y cuando tuvimos que irnos temprano después de nuestra última noche, teníamos una mochila para llevarnos al tren. Nuestra habitación era muy espaciosa y limpia, perfectamente ubicada para nuestra estancia en la ciudad, cerca de la estación también. ¡Disfrutamos muchísimo de nuestra breve visita a Valencia!"
16860,"Ubicación, wi fi, personal amable."
16861,"personal, habitación y ubicación"
16862,ubicación y personal
16863,sala de desayuno
16864,el personal fue muy amable
16865,"la ubicación, el personal y el desayuno"
16866,"excelente ubicación, buen desayuno. personal muy amable. hotel limpio y confortable."
16867,"Increíble ubicación, buen desayuno y buena relación calidad-precio."
16868,ubicación
16869,excelente ubicación.
16870,"La ubicación era estupenda, la terraza era fabulosa con una gran vista de la plaza. Las habitaciones eran amplias, la cama era cómoda y las almohadas eran buenas y firmes."
16871,"El diseño de la habitación era bastante bueno con aviones viejos, la ubicación es absolutamente central. El personal fue amable y servicial. Como no teníamos el refrigerador dentro de la habitación, sí, eso es negativo, preguntamos si podíamos guardar nuestros medicamentos en el refrigerador de la recepción y estuvieron felices de ayudar con eso."
16872,"todo estuvo genial!! La ubicación con una vista maravillosa, los desayunos eran deliciosos. ¡el personal fue súper dulce!"
16873,la ubicación es genial. cerca de cada
16874,cerca del centro bien comunicado por transporte público muchos restaurantes y tiendas alrededor
16875,buena ubicación y bonita habitación
16876,"excelente ubicación, personal increíblemente amable"
16877,ubicación
16879,"el personal fue increíble. Todos fueron muy amables y serviciales, especialmente Marte y Daniel, quienes me ayudaron cuando llegué al aeropuerto equivocado para encontrar el camino al hotel. Tenía una habitación interior y era pequeña, pero el baño era de buen tamaño y tenía espacio para todo lo necesario en una breve escapada a la ciudad. La ubicación es increíble, justo en las afueras de la ciudad vieja, a poca distancia del transporte público y de la mayoría de los lugares de interés. La sala de desayunos está perfectamente situada para ver los fuegos artificiales en la plaza frente al edificio gubernamental."
16880,excelente ubicación. luz y decoración fabulosas.
16881,ubicación
16882,no te dejes engañar por las fotos
16883,"El personal fue muy profesional, servicial y amable. 5 5"
16884,"el personal fue muy servicial y amable. El hotel estaba ubicado en el hermoso centro de la ciudad y era ideal para explorar la ciudad. Había una pequeña cafetería donde se podía tomar algo y había muchas cafeterías, restaurantes y tiendas alrededor del hotel. El baño era acogedor. Proporcionaron toallas de champú y secador de pelo. es un hotel pequeño."
16885,"ubicación, personal."
16886,El hotel está súper céntrico y el personal fue maravilloso con nosotros. Llegamos mucho antes de la hora de check in y nos dejaron dejar el equipaje allí. Lo mismo al momento de pagar que teníamos un tren por la tarde.
16887,"El personal de recepción y de cocina era servicial y la ubicación era muy céntrica. mucho tráfico en la calle lateral y justo encima de una taberna; sin embargo, las cosas estuvieron bastante tranquilas después de la medianoche. no hay problema para dormir. la habitación era bastante espaciosa."
16888,"Concepto prometedor, excelente personal, delicioso desayuno, ¡increíble ubicación! ¡Deseo que te conviertas en un hotel de 3, 4 o 5 estrellas porque eres increíble!"
16889,"Buena ubicación, espacio suficiente para una persona aunque podría haber ruido exterior, el desayuno es bueno y variado."
16890,"Hermosa ubicación, bien, el personal de la habitación fue muy amable."
16891,ubicación
16892,"Ubicación muy bien, en el centro, desde el hotel llegas caminando a diferentes objetivos turísticos, las ventanas de la habitación no dan ni luz, tienes obras enfrente, el desayuno está bien, bueno."
16893,la ubicación era muy buena y el personal era realmente amable y servicial.
16894,fantástica ubicación central
16895,la ubicación es muy buena. justo al lado del área principal. muchos bares y restaurantes alrededor. el personal es muy amable.
16896,Buena ubicación central para los principales lugares de interés. Buena elección y precio para el desayuno. Habitación de tamaño decente con buen baño.
16897,La ubicación era buena y el personal era amable y servicial. La terraza de la habitación estaba bien.
16899,Los chicos de recepción fueron amables y comprensivos. Estaban haciendo todo lo posible para intentar resolver todos los problemas que teníamos. El desayuno era bastante bueno por el precio y la ubicación era excelente.
16900,"El hotel estaba bastante bien. Era un hotel normal y corriente. No tiene nada de fantástico. El hotel está situado en una excelente ubicación. Cerca de todo. Si no quieres nada sofisticado y solo necesitas una habitación pequeña y básica para dormir, entonces hazlo. El personal es muy amable y bueno."
16901,La ubicación era buena y el personal también.
16902,"La habitación estaba limpia, se encargan de limpiarla y hacer nuestras camas todos los días."
16903,ubicación
16904,balcón muy bonito. La ubicación era buena y me gustó la cafetería.
16905,excelente ubicación
16906,"Excelente ubicación cerca de la plaza del ayuntamiento, a poca distancia de bares, restaurantes, museos y de los preciosos jardines del Turia y del metro. Buena elección en el desayuno y el personal fue muy acogedor y de buen carácter."
16907,"La habitación daba directamente a los apartamentos, ya que no había persianas, aparte de las cortinas opacas, teníamos que mantenerlas cerradas. la luz de lectura está colocada exactamente detrás de tu cabeza, así que te golpeas la cabeza constantemente. Me quedé encerrado en el balcón porque el viento sopla la puerta y no se puede abrir desde afuera, es muy peligroso si tienes niños. Es una ducha abierta con un escalón, por lo que el agua se derramó inundando el piso. La televisión estaba tan alta que incluso cuando estabas acostado te lastimaba el cuello."
16908,la cama es amplia y buena.
16909,ubicación y lindo fondo de pantalla. El chico del check-in fue muy amable y servicial.
16910,¡Es muy central para todo! El personal era muy agradable y las habitaciones estaban limpias.
16911,ubicación
16912,la ubicación era muy buena. El personal de recepción fue servicial.
16913,era muy céntrico. Es fácil comenzar el día a pie. El personal era amable y hablaba un inglés excelente.
16914,Espectacular vista de la ciudad desde nuestra habitación.
16915,"Excelente ubicación central, al menos la habitación que teníamos era enorme, aunque un poco desagradable al tener una foto muy grande de Steve Jobs encima de la cama. Aunque el hotel y la habitación estaban muy limpios, el olor era muy desagradable y me daba arcadas cada vez que necesitaba usar las duchas del baño. Instalaciones: buenas pero básicas, no hay nada de malo en esto, ya que sabía que estaba reservando un hotel básico, por lo que las instalaciones eran mínimas para empezar y no esperaba que el desayuno también fuera bueno, continental básico y llenara un vacío. relación calidad-precio: diría genial, habría sido perfecto, si no hubiera sido por la falta de venta de la habitación con terraza y el horrible olor a aguas residuales. Lamentablemente, el olor de la habitación realmente arruinó mi estadía, por lo que no podría darle una calificación más alta."
16916,"personal, ubicación"
16917,muy céntrico en una zona segura
16918,la ubicación es increíble. el personal es amable
16919,"ubicación, personal"
16920,bonitas habitaciones
16921,excelente ubicación
16922,la ubicación era decente. eso es todo lo que tengo que decir que es positivo.
16923,el trato recibido por parte del personal
16924,Ubicación y personal amable.
16925,la ubicación es increíble
16926,la ubicación es increíble
16927,el hotel está bien situado en el casco antiguo.
16928,gran vista y mucho espacio.
16930,"Excelente ubicación, precio, desayuno, personal agradable, buena relación calidad-precio si es capaz de supervisar los problemas. Probablemente sea una estancia estupenda si no vas en verano porque minimizaría los problemas del aire acondicionado y del ascensor."
16931,La ubicación era excelente en relación con la ciudad vieja y las atracciones turísticas históricas.
16933,"La ubicación era genial, pero eso fue todo."
16934,excelente ubicación central.
16935,la ubicación únicamente.
16936,Ubicado cerca del centro comercial y hermosa plaza. buen desayuno.
16937,"Ubicación estratégica situada en el centro de la ciudad, a poca distancia de las principales atracciones."
16938,el personal y la limpieza de la habitación.
16939,La ubicación era estupenda y la cama era cómoda.
16940,la ubicación.
16941,"La ubicación es muy conveniente y la estética del lugar es agradable. el personal es genial. El desayuno no es tan bueno, al menos esperaba frutas de mejor calidad."
16942,"Ubicación increíble, excelente relación calidad-precio y excelente personal."
