,negativo
23329,nada en absoluto
23330,"Mi habitación era buena, más que muy lujosa, pero tenía una buena relación calidad-precio."
23332,"Nada, todo fue perfecto."
23335,Era como una piscina en el baño cada vez que nos duchábamos debido a la mala instalación de la cabina de ducha.
23339,"La cola de la mañana para tortillas, huevos fritos no se gestionó correctamente. solo había un chef en 2 de las 3 mañanas en las horas pico y esto podría haber sido más eficiente con otro chef preparando huevos fritos listos para usar."
23341,no se me ocurre nada negativo
23344,Se olvidaron de ofrecernos la selección de almohadas cuando nos registramos. Así que asegúrate de preguntarlo.
23346,salvaje restaurant
23348,nada
23351,nada
23353,Demasiado ruidoso en el vestíbulo siempre lleno de gente.
23354,"Todo es perfecto, solo que el desayuno podría ser más barato."
23356,¡Ojalá nos quedáramos más tiempo!
23357,perspectiva de la ventana. Todo lo que pude ver fueron los feos tejados de las casas cercanas. El descanso fue bueno.
23358,"No hay whisky Jameson en el bar, ruido extraño en los desagües del baño por la mañana."
23359,nada
23361,"La habitación doble interior estaba bien, pero no valía tanto dinero. apenas puedes abrir la ventana. En la ducha hay que tener cuidado de no apuntar el mango de la ducha hacia la puerta, porque el agua se sale."
23362,absolutamente nada
23363,"Realmente no, solo es un poco extraño ver el ruidoso bar al ingresar al hotel para registrarse. A la iluminación de la habitación parece faltarle una atmósfera para relajarse, algo entre luz encendida y solo luz de lectura. El escritorio de la habitación es demasiado pequeño y sin iluminación."
23364,"Nos alojamos en el octavo piso, y el piso de arriba se usaba para el restaurante y otros eventos, y por la noche había bastante ruido con sillas y mesas moviéndose. solo negativo. nos quejamos."
23365,Demasiada gente en el vestíbulo entrando y saliendo a todas horas. Música alta con dj en el lobby. El baño de nuestra habitación era inadecuado. Cuando te duchas tienes que abrir la puerta para coger la toalla y que el agua caiga al suelo.
23366,ver más o menos
23368,el tamaño del gimnasio
23369,"el desayuno. no es lo suficientemente bueno para un hotel de 5 estrellas la selección de frutas, panes, jugos, colas para tomar café no te traen cafetera, tienes que ir a buscarlo todo, no es bueno"
23371,absolutamente nada que no nos haya gustado!
23372,sin servicio de aparcacoches
23373,desayuno demasiado caro
23374,nada. un poco caro pero vale la pena por la calidad.
23376,falta piscina y sauna
23378,Mal colchón superior que separa. debe ser reemplazado para que no se caiga entre los colchones mientras duerme. No es aceptable por ese precio.
23380,nada
23381,simplemente me encantó todo
23382,nada
23383,nada.
23384,el personal
23385,
23388,no puedo pensar en nada
23393,No hay quejas.
23395,No hay nada que puedas odiar en este lugar.
23396,El bar está en el vestíbulo y es bastante ruidoso y expuesto.
23397,No es culpa del hotel en absoluto... pero la mayoría de la clientela tiene tolerancia cero con los niños.
23398,"Las camas tienen 6 cojines para una apariencia de lujo, pero todos tienen el mismo tipo suavidad dureza. En mi opinión, esto podría cambiarse fácilmente por una pequeña variedad adicional de cojines."
23399,¡No hubo nada que no me gustara de este maravilloso hotel!
23403,el personal de limpieza habla en voz alta en los pasillos por la mañana sin tener en cuenta que los huéspedes estén durmiendo.
23405,demasiadas puertas en el baño
23407,"El restaurante principal estaba muy por debajo de la media para un hotel de 5 estrellas con opciones limitadas y no un gran nivel. ¡Tuve que devolver la paella quemada hasta el fondo de la sartén! Sin embargo, el restaurante de fusión fue excepcional."
23408,canales de televisión limitados
23409,"No soy una persona mañanera, los sonidos en el pasillo eran molestos por la mañana, el problema se resolvió fácilmente con tapones para los oídos."
23413,¡nada!
23414,"nada, todo estuvo genial!"
23415,nada
23416,"No tuve una muy buena experiencia en el restaurante la primera noche y no volví a ir. La comida que comí esa noche fue buena. La selección de bebidas era bastante limitada. Como el restaurante japonés abrió más tarde, no tuve la oportunidad de probarlo, pero el menú tenía buena pinta."
23417,El servicio de limpieza no está a la altura de otros hoteles de 5 estrellas. Habitación pequeña y desearía que se mantuviera tan limpia como el área de recepción.
23418,
23420,nada
23421,nada
23422,"No hubo nada, no nos gustó."
23423,Me encantaría el servicio de aparcacoches
23425,limitación de botellas de agua potable por día y agua cara en el hotel.
23426,"El servicio diario de la habitación era deficiente para un hotel de cinco estrellas comparable en otros lugares de Europa: el servicio llegaba tarde, era necesario organizar la recarga, como tapas de café, papel higiénico, etc., pagué de más la habitación al reservar con anticipación."
23428,"Sinceramente, no encuentro ningún defecto que señalar y, sin dudarlo, este se ha convertido en nuestro hotel de referencia en Valencia. ¡Muy recomendable para una estancia excepcional y sin preocupaciones!"
23429,nada que no me haya gustado
23431,nada en absoluto.
23433,"La decoración, la limpieza y la comodidad de la habitación eran geniales."
23435,"Tal vez solo en la habitación que mira hacia adentro, pero supongo que la única manera de evitar esto es mejorar, pero la habitación en sí era encantadora."
23439,el vestíbulo excesivamente perfumado.
23440,que en un hotel de 5 estrellas no hay sauna ni piscina.
23441,ninguna queja en absoluto
23443,no hay nada que no me guste
23445,nada
23446,obras viales fuera de la puerta
23450,Las sábanas de la cama estaban demasiado apretadas y las camas también eran bastante estrechas.
23451,Echamos de menos no tener una piscina y un salón adecuado para sentarse y relajarse...
23453,¡sin quejas!
23455,No me disgustó nada. El único inconveniente fue que no había piscina... pero lo sabíamos al hacer la reserva.
23457,nada es simplemente genial en mi experiencia
23459,Hubiera sido bueno si tuvieran una piscina en la azotea o un área al aire libre para relajarse después de un día caminando por la ciudad.
23461,el bar y el personal
23462,"Nada, fue fantástico."
23463,nada
23464,nada . no puedo quejarme de nada
23465,ninguna transmisión de piscina en la televisión no funcionó
23466,"dos veces por la mañana; Las máquinas de café no funcionaban, por lo que el personal tuvo que subir corriendo al restaurante superior para preparar café, un inconveniente para ellos y los invitados."
23467,¡nada!
23468,Las mamparas de aluminio y cristal del baño.
23469,"El servicio de limpieza se olvidó dos veces de volver a llenar el café, pero fue muy rápido cuando le informé a la recepcionista."
23472,"hotel moderno, limpio y bellamente diseñado"
23474,todo estuvo bien
23477,no hay café temprano
23478,¡nada!
23479,nada
23481,la iluminación de la habitación. no es bueno. No hay sistemas de sonido en la suite. Los canales de televisión no son geniales. el desayuno es un asunto elaborado. un poco de evento. El gimnasio no es un gimnasio. floristas es para Instagram; se sintió un poco falso. Algunas suites carecen de suficiente luz natural.
23483,"nada, todo estuvo genial"
23485,No me gustó tener que irme demasiado pronto; me hubiera encantado quedarme para siempre;
23489,nada
23490,nada en absoluto
23491,nada
23492,nada. disfrutamos nuestro tiempo allí
23493,nada
23494,nada en absoluto
23495,nada
23496,nada nos encantó.
23497,Me hubiera encantado ver una opción vegetariana para el desayuno. pero debo decir que conocí las algas y disfruté mucho.
23498,que solo estuvimos 2 noches
23501,nada
23504,sin quejas
23505,"La comida del restaurante podría ser un poco mejor. Está bien, pero no es tan impresionante como todo lo demás."
23506,solo nada!!
23507,"El menú del servicio de habitaciones estaba un poco por todas partes y era bastante limitado, pero disfruté muchísimo la comida rústica de pollo."
23511,nada. solo que quieres quedarte más tiempo y no quieres volver a casa.
23513,nada
23517,"La cama es demasiado gruesa, incluso solo tenemos 20 grados en la habitación, todavía hacía demasiado calor mientras dormíamos, incluso estábamos sudando."
23518,La habitación doble interior era muy pequeña si piensas en el precio.
23520,El desayuno buffet tenía algunas opciones increíbles fuera del mundo. Ojalá hubiera más opciones de bebida y comida para niños.
23521,
23522,nada realmente
23523,un spa estaría bien.
23527,nada
23528,El desayuno podría haber tenido algunas opciones más calientes.
23529,nada.
23530,nada realmente
23532,"La televisión podría tener más programas en inglés en lugar de solo las noticias. El gimnasio podría trasladarse a otra zona para tener más espacio, ya que tiene una forma incómoda. Solo tener 3 personas lo llena."
23533,una piscina hubiera sido ideal dado que el clima bajo el sol es tan caluroso y la playa está a una hora a pie.
23536,sin área de piscina al aire libre
23538,no tengo quejas ni preocupaciones
23539,huéspedes que no son del hotel en el lobby
23540,excelente ubicación
23541,"Nada, todo genial."
23545,no habia nada
23547,"El desayuno, aunque bueno, no fue el mejor que hemos tenido. Como no estaba incluido, costaban 26 euros adicionales por persona; podría haber sido un poco mejor; el tocino era de muy mala calidad, por ejemplo."
23548,el precio cambió el doble de un día cuando extendí
23551,nada en absoluto.
23552,"Sería genial tener más opciones veganas en el desayuno, como tostadas de aguacate y algunas alternativas a la leche. Sólo pudimos comer pan y mermelada y por eso el precio del desayuno parece bastante caro. Todo el personal del hotel es muy amable y servicial y sin duda nos alojaremos aquí de nuevo la próxima vez que estemos en Valencia."
23553,nada.
23555,El ruido proveniente de la multitud que salía del club nocturno llegó a la habitación hasta altas horas de la noche.
23556,sin servicio de habitaciones las 24 horas
23558,"El desayuno era caro a 54 para dos personas. Sentí que esto era demasiado caro. Sí, fue un desayuno encantador, pero era demasiado caro."
23561,No pasé suficiente tiempo allí para encontrar nada que no me gustara pero me perdí el interruptor para bajar el apagón. Menos mal que tuve que levantarme para reunirme en la mañana cara feliz con ojos sonrientes
23562,nada.
23567,"Sólo que hubiera sido bueno tener la opción de una habitación con vista, ya que esto marca la diferencia dada la increíble ubicación."
23568,¡nada!
23571,"no hay estacionamiento e incluso un lugar donde poder descargar el equipaje de manera segura, pero es un inconveniente solo para quienes vienen en automóvil."
23572,"Primero tuvimos una habitación estándar que daba al patio interior. Había mucho ruido de unidades de aire acondicionado desde afuera. entonces no pude dormir bien. Cuando me quejé, me ofrecieron una habitación que daba a la calle. Tuve que pagar una cantidad razonable extra por la habitación. Esta habitación era fantástica, con una gran sensación y vistas al exterior."
23573,nada fue genial
23574,la alarma de incendio que sonó
23575,sin problemas.
23576,la habitación no tenía vistas a la ciudad.
23577,0
23578,No hay spa pero el resto fue increíble.
23581,nada.
23582,"Las tarifas de hotel eran un poco caras para el período, pero valió la pena."
23583,los ascensores se llenaron
23584,Hay un poco de ruido proveniente de la calle por la noche.
23585,la sala de desayuno estaba muy ocupada
23586,"Es un hotel bastante grande y un lugar popular para reuniones, especialmente los fines de semana. El ruido puede ser un problema incluso dentro del hotel. Había una suite en nuestro piso que era una sala de reunión popular para un grupo de personas que se alojaban en el hotel. ruido en el pasillo y portazos hasta bien entrada la noche."
23587,ya
23589,"Un punto menor y una preferencia personal, pero no me gustaron los vasos de metal en la habitación que me recuerdan a un campamento."
23590,"Los sistemas no funcionaron al llegar, larga espera en el check-in, pero mitigación amigable."
23591,nos gustó todo
23592,"No hay baño en nuestra habitación, la planta baja 3 es un poco ruidosa por la noche."
23594,"No hay piscina y el gimnasio es muy pequeño. Otros detalles menores, como las puertas de vidrio del baño, están un poco desvencijadas, por lo que hacen mucho ruido cada vez que las cierras. Un poco de cal en la lechada, etc. en el baño y también los baños conectados al vestíbulo podrían haber estado más limpios, pero no estaban mal."
23595,
23596,no hubo nada que no me gustara.
23597,nada
23599,La vista de la suite junior no era muy buena. eso debería haberse mencionado más claramente. Preferiría reservar la habitación más barata con vistas a la ciudad.
23600,"No hay estacionamiento en el lado, pero hay un edificio de varios pisos a 2 minutos a pie, aunque es bastante estrecho si tienes un automóvil grande. Estábamos en el tercer piso, se oía algo de ruido de la discoteca, pero apenas se notaba, tal vez solicite un piso más alto."
23604,saliendo del hotel
23605,"Sinceramente, nada."
23606,¡No!
23608,"Para la cena, el restaurante de arriba no es el mejor de la zona."
23609,nada
23610,No tengo ninguna queja.
23611,nada
23612,nada
23613,nada que no nos haya gustado
23614,"Tomé una mejora, pero la habitación no era muy grande y realmente no parecía una mejora. No obstante, la habitación es hermosa y cómoda. Llegamos tarde y queríamos comer algo, pero la única manera era pedir el servicio de habitaciones, aunque queríamos un bocado en la zona del bar con nuestro cóctel. No es gran cosa, pero hubiera sido bueno poder comer algo abajo."
23615,"Sinceramente, nada. Ya he sido huésped varias veces, así que no es por casualidad. ¡El nivel de hospitalidad es constante!"
23616,nada
23617,No hay mucho que no me haya gustado. ¡Todo estuvo a la altura de mis expectativas!
23618,nada
23619,"Existe la posibilidad de que le alojen en una habitación con una pequeña ventana al bloque interior. en este caso puede olvidarse de abrirlo porque hay unidades de ventilación ruidosas que emiten un sonido a un nivel de 70 db. A continuación, si se alojará en el octavo piso, después del cierre del restaurante, el personal preparará el desayuno y este movimiento de las mesas del buffet es muy ruidoso."
23620,nada
23621,nada
23622,nada
23623,literalmente nada. este hotel es muy bueno.
23624,"Desayuno caro, así que solo comemos allí una vez durante nuestra estancia."
23627,"algunos artículos de cuidado personal no fueron reemplazados, ni tampoco las cápsulas de café. Estoy seguro de que podría haber conseguido ambas cosas pasando por aquí o llamando a la recepción, pero no era tan importante."
23629,muy limpio! pero encontramos dos lugares: -
23630,"No pude acceder al bar durante 3 noches debido a fiestas privadas. bar de sushi muy decepcionado porque estábamos celebrando un cumpleaños que había avisado al hacer la reserva y cuando llegué, pero no mencioné el cumpleaños de nuestra hija. El cantante cantó 2 canciones en 2 horas. no como se anuncia"
23631,"El uso excesivo de perfumes y ambientadores altamente tóxicos, provocó tos y falta de aire."
23632,"Como la ventana se abre muy poco, por lo que casi no hay ventilación natural, a veces se tiene esa sensación de aire viciado en la habitación."
23633,"En el área pequeña, le resultó difícil encontrar un asiento para tomar una copa más tarde en la noche para tomar una copa."
23634,"La habitación tenía problemas de plomería, el personal intentó solucionar este problema. Las camas gemelas deben estar separadas y no en el mismo somier. El desayuno era bueno, sin embargo, si pudiera sugerir una mejora, el café debe servirse caliente."
23635,Baño y habitación más pequeños de lo esperado.
23636,Tamaño de las habitaciones. demasiado pequeño para los viajeros americanos
23637,Tuvimos que solicitar que nos limpiaran la habitación los dos días que estuvimos allí. la falta de cajones y espacio de almacenamiento en la habitación fue decepcionante. El personal del bar no fue muy atento y tuve que subir al bar para solicitar servicio de mesa.
23638,La sala fitines necesita más máquinas.
23640,El área de recepción carece de espacio y no es relajante. La entrada del hotel está demasiado cerca de la recepción.
23641,La limpieza podría ser mejor.
23643,la habitación es pequeña todo lo demás es perfecto
23645,desayuno demasiado caro
23646,La entrada del hotel se comparte con la cafetería y el restaurante.
23647,Las habitaciones no están muy aisladas del ruido del pasillo.
23648,"No hay cerveza de barril, no hay instalaciones de spa en la piscina, no hay happy hour, cosas gratis."
23649,el desayuno era caro
23650,"cena en el restaurante del hotel. La comida estaba mal preparada, se quemó y tardó casi 35 minutos en llegar. El gerente es muy condescendiente, debería estar mejor capacitada para mejorar sus habilidades de servicio al huésped. No recomiendo este restaurante para cenar, para el desayuno es genial."
23651,La insonorización de la habitación era discutible: en la habitación se escuchan todo tipo de ruidos del pasillo; El bar del piso más alto abre sólo los fines de semana:
23652,"olor de la habitación, olor a almizcle y humedad, la extracción de olores del baño es muy pobre e ineficiente"
23653,nada
23654,La habitación era preciosa pero olía a humo cada vez que entramos. los restaurantes no eran geniales
23656,El servicio de habitaciones no siempre hacía un seguimiento cuando se solicitaba algo.
23658,"Habitación: - Si bien la habitación tenía su encanto, no podía ignorar el ruido del exterior. Si tienes el sueño ligero, esto podría ser una preocupación. slvj: - el diseño interior de slvj es innegablemente impresionante. desde muebles elegantes hasta obras de arte cautivadoras, es un placer visual. cada rincón cuenta una historia, una mezcla armoniosa de estética. - Desafortunadamente, la comida no estuvo a la altura del ambiente. le faltaba ese toque especial, dejándome con ganas de más... - la bienvenida inicial fracasó. Las sonrisas plásticas, si las hay, y los saludos ensayados no crean una atmósfera cálida. una recepción genuina y sincera marcaría una gran diferencia. En resumen, slvj tiene sus altibajos. Con algunos ajustes, realmente podría brillar, pero para mí lo sentí como un lugar donde no quieres pasar demasiado tiempo..."
23660,cuarto viejo
23661,mejores instalaciones para el té de la mañana en la habitación
23662,El aire acondicionado no funcionaba bien cuando nos registramos y una de las camas no tenía aire acondicionado durante la noche. Eso lo hizo menos agradable a pesar de la cómoda cama.
23663,"El wifi en la habitación era muy irregular, el desayuno no vale la pena."
23664,La zona del bar se llenaba de gente que no era huésped cuando había eventos.
23666,Si hubiera piscina sería mejor.
23667,precio
23668,"El tamaño del espacio para guardar la ropa es suficiente para permanecer una semana completa, por lo que el espacio es un poco pequeño para dos personas. Las puertas de la ducha y el WC son muy ruidosas como el vidrio pesado. El espejo de tocador es independiente, pero la altura del soporte del lavabo y otras áreas donde puedes colocarlo para maquillarte es ideal si fueras un enano. Así que la habitación parecía buena inicialmente pero decepcionante."
23670,"Puede ser ruidoso por la noche. Como hotel de 5 estrellas, le falta una piscina de hidromasaje por el costo de la tarifa nocturna."
23671,"Los baños estaban anticuados y no funcionaban correctamente. El agua de la ducha estaba por todo el baño cada vez que uno se duchaba, lo que no es muy bueno para este hotel."
23673,La limpieza de las habitaciones podría mejorarse. Habitaciones bastante grandes pero sin almacenamiento adecuado: solo unas pocas perchas que son insuficientes para 2 personas.
23674,desayuno servicios lentos y opciones limitadas
23675,buena calidad
23677,temperatura en el vestíbulo...frío
23678,"ruido de la calle, precio desorbitado del desayuno! ambiente sórdido en el bar!"
23679,fuga en el baño la cama doble eran dos camas juntas
23680,Las almohadas eran tipo globo baratas.
23681,"El baño estaba bien, excepto que la ducha tenía un diseño negro y me gusta ver el blanco para garantizar la limpieza. elección personal."
23682,Las almohadas son demasiado duras. Necesito una variedad.
23683,precio ligeramente alto. las habitaciones pueden ser más grandes.
23684,"Me despertó el vagón contenedor de basura, pero supongo que eso es algo con lo que el hotel no puede ayudar. Extraño más opciones de desayuno caliente y el bar barista está demasiado ocupado, no me gusta la cola en unas vacaciones relajantes"
23685,Había muy mal olor en el vestíbulo el segundo día. Vi que estaban trabajando en ello pero estaba listo terrible. Estoy seguro de que este problema se ha solucionado.
23686,nada realmente..
23688,Las habitaciones internas son bastante oscuras.
23690,"Reservamos una suite junior con balcón, pero el balcón era mucho más pequeño de lo que vimos en las fotos y no había mesa ni sillas como en las fotos de booking.com. El aire acondicionado no funcionó eficazmente el primer día. Luego, después del mantenimiento, mejoró, pero aún no fue suficiente."
23691,la maquina de cafe en la habitacion
23692,servicios
23693,"El personal del bar puede estar sobrecargado de trabajo, pero en 2 ocasiones fue un poco inútil."
23694,La limpieza general podría mejorarse un poco en algunas zonas. Había algunas manchas en los muebles y moho en el florero.
23695,"A la habitación le falta espacio y no hay suficientes armarios para guardar la ropa, por lo que nos vimos obligados a guardarla en maletas. El hotel es cómodo, pero sus comodidades no justifican una calificación de 5 estrellas. No estoy seguro de los estándares españoles que se aplican en la categorización de hoteles. Este es un buen hotel, pero cuando reservo un hotel de 5 estrellas, espero el nivel correspondiente de servicio. Reservé y pagué el hotel con dos meses de antelación, y el día antes de mi llegada vi que la misma habitación con desayuno era 100 más barata para una estancia de 2 noches. No es una sensación agradable cuando te sientes engañado."
23696,Encontrado condón usado en bata
23697,"Lamentablemente, la cama doble consta de dos colchones individuales unidos con un cubrecolchón. No es muy cómodo en absoluto, tuve que empujar las camas hacia atrás varias veces."
23698,"las camas son muy incómodas. lo haces de lados hacia abajo mientras duermes. Además, no era ortopédico, provocaba dolores de espalda y cintura."
23700,"Llamé a recepción, no contestaron, así que llamaron nuevamente e iban a traer algo de hielo pero no vinieron."
23701,Parece una mazmorra: pasillos oscuros y viejos.
23703,"No hay ventanas insonorizadas que den al patio interior. Demasiado eco y las ventanas no impiden que entre ningún ruido. En un momento, a las 22:30, los decibelios llegaron a 42 mientras intentaba dormir."
23704,"La habitación que nos asignaron era interior y daba a un patio y se sentía extremadamente pequeña. Por la noche, el baño tenía un olor desagradable y el aire acondicionado hacía bastante ruido cada vez que se encendía. Si bien estos problemas no son catastróficos, no deberían ocurrir en un hotel de cinco estrellas, particularmente a una tarifa de más de 350 por noche. Independientemente de la categoría, cada habitación debe cumplir con los estándares de una propiedad de cinco estrellas, no sólo la más cara."
23705,"El estacionamiento es caro, por lo que el descuento es ridículo en el precio reducido del hotel."
23707,muy caro somos clientes desde hace varios años con precios subiendo con cada estancia sin una mejora real de la oferta
23708,"Desafortunadamente, pero el conserje estrelló mi equipaje rimowa cuando lo puso en taxi."
23709,Salí la noche antes de partir y solicité un taxi para las 8:30 de la mañana siguiente. A la mañana siguiente llamé a la recepción a las 8:00 para reconfirmar que tendrían un taxi esperándome a las 8:30 porque tenía que tomar un tren. Cuando llegué al vestíbulo no había taxi y tuve que correr a buscar uno y casi pierdo el tren. Esto me pareció inaceptable en un hotel de esta calidad.
23710,el precio de un gin tonic 15
23712,"Ventanas de mala calidad, no es fácil dormir con todo el ruido de la calle. Se oye todo, toda la noche. Llamé a la recepción para arreglar la ventana, su colega vino y trató de arreglarla pero no detuvo el ruido, pedí otra habitación pero las ventanas no funcionaban en esa habitación tampoco."
23713,"No hay aparcamiento en el hotel. El aparcamiento está cerca, pero no es barato y la habitación es pequeña."
23714,"Había reservado una habitación con una cama doble grande. pero nos dieron una habitación con dos camas individuales juntas. Supongo que mi error fue que debería haberlo planteado antes, tan pronto como fuimos a la habitación. Las camas eran muy livianas y nos hicieron dormir muy incómodos a mí y a mi esposo. Siguieron moviéndose, y dado que había dicho que era un fin de semana temprano de San Valentín, y somos una pareja, y había reservado una habitación que indicaba claramente que tenía una cama doble grande... esperaba al menos una cama doble sólida y cómoda. Me quejé de esto en mitad de la noche y me dijeron que debería haberlo avisado antes para que tal vez se pudiera haber hecho algo. Nos compensaron parcialmente con un desayuno gratuito, que fue excepcional. Delicioso café y una amplia variedad de productos para el desayuno en el restaurante que tiene una hermosa vista de la ciudad. Mi único consejo es: quédate aquí, ya que todo lo demás fue increíble... desde la bebida de recepción hasta la salida... pero si sientes que algo no está a la altura, márcalo de inmediato."
23715,el check-in tomó demasiado tiempo; necesita más personal cuando hay cola. El desayuno es excelente si le gusta el desayuno continental y tiene muchas opciones frías de calidad; no es excelente si desea un desayuno inglés tradicional o si es vegano; es bastante limitado en ese sentido.
23716,¡Fue extremadamente ruidoso! Se podía escuchar en la habitación el ruido y la música proveniente de las fiestas que se realizaban en el hotel.
23717,"Así que creo que estaba en el piso 7 y encima de mi habitación estaba el restaurante. Después de un día explorando la ciudad y tomando unas copas en el bar del hotel, quería acostarme temprano, estuvo bien, me despertaron varias veces, pensé que podría ser alrededor de las 3 am con ruidos del piso de arriba. Esto lo podría afrontar. pero luego de las 5:45 a las 6:00 el ruido fue mucho. Estaba despierto y me mantenía despierto. Al finalizar la compra, mencioné esto a un miembro del personal, Matthew o Michael, era su nombre y no hubo una respuesta real a esto, y simplemente procedió a contarme mi factura. Les he dicho a mis amigos que quieren viajar a Valencia que éste es un hotel encantador, ¡en su mayor parte lo es! pero no me quedaría en ese piso otra vez. Fue una forma horrible y desagradable de terminar mi viaje."
23718,"Pasamos 2 noches. El primero fue una pesadilla debido al ruido del tercer piso. hay un lugar con terrazas y mucha gente. Era imposible dormir antes de las 3 de la madrugada, parecía que había gente con nosotros en nuestra habitación. y luego a las 7am, mucho ruido por la basura. Cambiamos de habitación para la segunda noche y fue perfecto en el sexto piso."
23719,"La entrada principal solo tiene escaleras, por lo que es difícil entrar con un cochecito. y la puerta que conduce al ascensor está siempre cerrada."
23720,"¡ordena el servicio de comida! El personal del restaurante era francamente grosero y abusivo y siempre estaba cerrado. No quiero sushi como menú de bar. obtenga un servicio de café decente para el desayuno, no un barista y una cola enorme. Al final me di por vencido y comí en la plaza de afuera. Así que definitivamente no es una experiencia de 5 estrellas."
23721,"El desayuno era con una gran selección, por lo que es el lado positivo, pero se sirve en una enorme sala lateral, muy impersonal, parecía un tipo de hotel para reuniones de congresos de negocios, decente pero sin estilo. El hotel en general parece demasiado ocupado y el personal te trata adecuadamente, pero es muy impersonal, te sientes como si estuvieras yendo a una máquina grande, no es una buena sensación."
23722,"Buena estadía, pero cero responsabilidad cuando dejé mis pertenencias detrás del hotel y el personal fue excelente durante mi estadía. amigable, limpio y cómodo. sin embargo, después de pagar me di cuenta de que había dejado varios artículos personales (dos pares de zapatos, camisas de lino y abrigos) y llamé en una hora. a pesar de llamar varias veces en diferentes días e incluso visitarlo en persona, nadie hizo un seguimiento ni se hizo cargo. Mis pertenencias simplemente han desaparecido y no se ha hecho ningún esfuerzo por investigarme o ponerme al día. Es imposible que mis artículos hayan desaparecido. nadie ha asumido ninguna responsabilidad y a nadie parece importarle ni llegar al fondo de esto. Es muy decepcionante porque todo lo demás sobre la estancia estuvo bien, pero la total falta de atención después de la salida ha dejado una impresión terrible."
23723,"Después del check out descubrí que había dejado mi regalo, era un sombrero bastante caro, al día siguiente llamé al hotel para preguntarles al respecto. Nadie pudo darme una respuesta normal, o no quiso ayudar, solo me pidió que me escribiera un correo electrónico. Después de muchas llamadas y muchos correos electrónicos, recibí un correo electrónico diciendo que el servicio de limpieza no encontró nada en la habitación. Me robaron el sombrero. Entiendo que es mi culpa que olvidé mi artículo, pero esperaba que en este hotel de cinco estrellas no pudiera suceder algo como esto. Estoy muy decepcionado, intentaré averiguar quién lo hizo en mi próxima visita. Pero, por supuesto, ya no seré tu invitado."
23724,Atención al detalle. Servicio de limpieza: no hay gel de ducha ni lavado de manos en nuestra suite durante toda la estadía. Seguramente esto debería revisarse todos los días. No se reemplazan las comodidades.
23725,No es un hotel de 5. personal grosero del bar. No hay conserje creíble.
23726,"Tuvimos que cambiar de habitación ya que nuestra primera habitación premium tenía un olor a cloaca extremadamente fuerte que emanaba del baño. El mantenimiento y la limpieza intentaron solucionar la situación, pero el olor desagradable persistía. Después de 3 días no pudimos soportar más el olor y nos mudamos de habitación. La recepción y los correos electrónicos a la propiedad se enviaron desde el primer día, describiendo esta situación tan desagradable."
23727,"hotel más bien de 4 estrellas que de 5 - se esperaba más de la decoración y el servicio de las habitaciones y el salón, en todas partes - la zona del salón es demasiado pequeña y, por tanto, demasiado llena de gente"
23728,"La cama no era cómoda, precio alto, habitación pequeña."
23729,booking.com tenía precios ocultos y los extorsionaba de un modo horrible.
23730,Sólo dos cápsulas de café en la habitación y bolsitas de leche y algunas toallas no se reemplazan después de su uso. Se necesita más atención al detalle del servicio de limpieza.
23731,"La recepción no cumplió con las expectativas. Esperamos hasta las 4 de la tarde para conseguir la habitación a pesar de que llegamos temprano en la mañana con dos niños y reservamos una suite hogareña. Además, hubo problemas con la reserva de taxis y restaurantes por parte del personal de recepción. Gran hotel pero personal de recepción muy poco profesional."
23732,"El desayuno: diseño confuso, no hay una gran variedad disponible. muy poco personal limpiando y respondiendo y especialmente cocinando: una espera de 20 minutos para los huevos era inaceptable."
23733,"Eran los anfitriones de la Semana de la Moda; todos lados estaban llenos de modelos y otras personas relacionadas con el evento. Las instalaciones estaban fuera de servicio para sesiones fotográficas como el gimnasio. El personal del hotel, aparte del personal del bar, estaba demasiado ocupado con modelos para ayudar a los residentes del hotel. Los baños en particular estaban cansados, la ducha goteaba en el inodoro. muchos días sin toallas, papel higiénico, etc."
23734,diseño de la herramienta
23735,horrible olor del lavabo habitación pequeña sin perchas en el armario la ventana da bien a la casa
23736,No veo ningún hotel 5 estrellas en el mundo cobran dinero del hielo y me operaron el pie por eso pido muchas veces al día el hielo y el hotel siempre cobran dinero por esto y siempre están ocupados llamo a recepción a veces no contestan mi llamada no es cómodo para mí
23737,"La habitación era preciosa, pero el ruido exterior era demasiado y había una boda en el hotel. Cuando pusimos el aire acondicionado hacía demasiado frío."
23738,"Faltan muchas cosas para un hotel de 5 estrellas. Amenidades, café, azúcar. Tuvimos que llamar para todo, intentamos comer en el restaurante, nos dicen que nos vayamos porque necesitamos reservaciones. Hay otro restaurante en el último piso, confunden nuestro pedido."
23739,"Cambiamos de habitación porque necesitábamos un baño en lugar de una ducha, la mejora fue ridículamente cara."
23740,Era un hotel de 5 pero no creíamos que cumpliera ese nivel. y era muy caro.
23741,"La calefacción no funcionó correctamente durante 2 días y, en lugar de trasladarnos a otra habitación, enviaron a alguien para que lo arreglara el segundo día. No es lo que esperas al pagar estos precios. El encargado de mantenimiento que vino fue muy amable y conocedor."
23742,limpieza habitación mantenimiento recepción comunicación
